Title,Description,URL
【速報】西村優菜は3打差を追ってサンデーバックナインへ - ゴルフダイジェスト・オンライン,◇米国女子◇ビュイックLPGA上海 最終日（15日）◇旗忠GC (中国)◇6691yd（パー72） 首位に4打差の9位から最終ラウンドをスタートした西村優菜は前半アウトを2バーディ、ノーボギーでプレー。通算10アンダーに伸ばし、その差を3打に詰めてサンデーバックナインへ折り返した。 西村は3番までパーを並べると、3打目をピン手前2mにつけた4番（パー5）でバーディを先行。さらにティショットをピンそば1mに絡めた7番（パー3）でも伸ばして2桁アンダーにのせた。 世界ランキング1位のリリア・ヴが7ホールを終えて3つ伸…,https://news.golfdigest.co.jp/news/lpga/article/161383/1/
【詳報】マラソン男子 小山直城1位 赤崎暁2位 パリ五輪内定 - nhk.or.jp,パリオリンピックのマラソンの代表選考レース、MGC＝マラソングランドチャンピオンシップが東京都内で行われ、男子は小山直城…,https://www3.nhk.or.jp/news/html/20231015/k10014224871000.html
東京 八王子の強盗傷害事件 41歳の会社員逮捕 被害女性の親族 - nhk.or.jp,今月、東京 八王子市の住宅に男が押し入り、この家に住む30代の女性を刃物のようなもので切りつけ、通帳などが奪われた事件で…,https://www3.nhk.or.jp/news/html/20231015/k10014225861000.html
政府チャーター便、ドバイに到着 イスラエル退避の邦人８人搭乗：時事ドットコム - 時事通信ニュース,イスラエルからの出国を希望した邦人８人を乗せた日本政府のチャーター便が現地時間１４日夜（日本時間１５日未明）、アラブ首長国連邦（ＵＡＥ）のドバイに到着した。イスラエルとイスラム組織ハマスの戦闘が始まって以降、政府による邦人退避の支援は初めて。,https://www.jiji.com/jc/article?k=2023101500008&g=pol
小惑星ベンヌで採取されたサンプルをNASAが初公開 小惑星探査OSIRIS-RExミッション - sorae 宇宙へのポータルサイト,NASAは現地時間2023年10月11日、小惑星探査ミッション「OSIRIS-REx」で地球に持ち帰られた小惑星「101955 Bennu（ベンヌ、ベヌー）」のサンプルをジョンソン宇宙センターからのラ,https://sorae.info/space/20231015-bennu.html
両陛下が搭乗する特別機が機体トラブル 貴賓室で一時待機 - 毎日新聞,15日午前10時過ぎ、東京都大田区の羽田空港で、天皇、皇后両陛下が搭乗された特別機が離陸できなくなるトラブルがあった。石川県で開催中の国民文化祭と全国障害者芸術・文化祭への出席のため小松空港（同県小松市）に向かうところで、予備機に乗り換えて同11時半ごろに離陸した。機体のシステムトラブルだという。,https://mainichi.jp/articles/20231015/k00/00m/040/069000c
31歳・須田亜香里、ニーハイソックス＆ミニスカートで美脚披露 「絶対領域素晴らしい」「お似合いです」 - ORICON NEWS,元 SKE48 でタレントの 須田亜香里 （31）が15日、自身のインスタグラムを更新。ニーハイソックスにミニスカートショットを公開した。  　須田は「2023年10月7日【#TGC北九州】会場や配信で応援してくださった皆様、ありがとうございました」と伝え「初の東京ガールズコレクションでのランウェイをクレイツさんのステージで叶えていただき、とっても幸せな時間だった…」と振り返った。,https://www.oricon.co.jp/news/2298689/full/
物価高やコロナで「ホーユー」など業者撤退、公立高の学食ピンチ…弁当注文・コンビニに切り替えも - 読売新聞オンライン,公立高校の学校食堂（学食）が苦境に陥っている。各地で学食や給食事業などを運営してきた「ホーユー」（広島市）が業績不振で事業停止となって業界の現状に注目が集まったが、物価高やコロナ禍の直撃で事業から撤退する業者が現れてい,https://www.yomiuri.co.jp/national/20231015-OYT1T50031/
＜公演中止（10月15日）＞月組 東京宝塚劇場公演『フリューゲル －君がくれた翼－』『万華鏡百景色』 | ニュース | 宝塚歌劇公式ホームページ - 宝塚歌劇,月組東京宝塚劇場公演『フリューゲル　－君がくれた翼－』『万華鏡百景色（ばんかきょうひゃくげしき）』は、複数の出演者から新型コロナウイルスもしくはインフルエンザウイルスの陽性が確認され、公演実施が困難な,https://kageki.hankyu.co.jp/news/20231015_2.html
東京は本降りの雨で気温上がらず 10時の気温は14℃で肌寒い - ウェザーニュース,低気圧や前線の影響で、関東地方では昨夜から本降りの雨が続いています。今日10月15日(日)の東京は朝からほとんど気温が上がっておらず、10時の気温は14.3℃と晩秋を思わせるような肌寒さです。,https://weathernews.jp/s/topics/202310/150105/
イスラエル、陸海空からガザ地上戦を準備 市民に退避勧告 - ロイター (Reuters Japan),イスラエルは１４日、イスラム組織ハマスが実効支配するガザ地区の市民に南へ退避するよう勧告するとともに、地上戦の準備を進めた。,https://jp.reuters.com/world/security/TWWTNGCNSBL4BP5TVJGPBOVBYE-2023-10-15/
東地中海に２隻目の米空母、「ドワイト・アイゼンハワー」派遣指示…イスラエルへの攻撃抑止 - 読売新聞オンライン,【ワシントン＝向井ゆう子】米国のオースティン国防長官は１４日、米海軍の空母「ドワイト・アイゼンハワー」をイスラエル沖の東地中海に派遣するよう指示した。米軍は既に、イスラエル沖に空母「ジェラルド・フォード」を展開している,https://www.yomiuri.co.jp/world/20231015-OYT1T50040/
MGC沸かせた川内「なめんなよ」 - goo.ne.jp,「マラソングランドチャンピオンシップ」（１５日、国立競技場発着）２４年パリ五輪代表選考会を兼ねて行われ、男子６１人が２枚の五輪切符をかけて争った。今回が１３０回...,https://news.goo.ne.jp/topstories/sports/goo/c6f98db50d4e41070b7f81c23485b1b7.html
乃木坂46・佐藤楓＆櫻坂46・村井優が赤坂ミニマラソンで力走！ - RBB TODAY,乃木坂46・佐藤楓と櫻坂46・村井優が、14日放送された『オールスター感謝祭23秋』（TBS系）の「赤坂5丁目ミニマラソン」で力走を見せて話題を呼んだ。,https://www.rbbtoday.com/article/2023/10/15/213351.html
茨城県が「魅力度ランキング」最下位、過去１５年で１２度目 - 読売新聞オンライン,民間調査会社「ブランド総合研究所」（東京）は１４日、今年の都道府県魅力度ランキングの全結果を発表し、茨城県は２年ぶりに最下位の４７位となった。２００９年にランキングの発表を始めてから、茨城県が最下位となるのは１２度目。,https://www.yomiuri.co.jp/national/20231014-OYT1T50310/
イタリアが4発快勝！ ハンガリーは“首位決戦”を制し本大会出場へ前進／EURO2024予選 - SOCCER KING,EURO2024予選第7節の7試合が13日に行われた。 　グループCでは、同組の他4チームよりも1試合消化が少ないイタリア代表が、ホームにマルタ代表を迎えた。···,https://www.soccer-king.jp/news/world/euro/20231015/1820699.html
日曜劇場『下剋上球児』本日スタート 主要キャスト7人を一挙紹介 - ORICON NEWS,俳優の 鈴木亮平 が主演を務める、TBS系日曜劇場『下剋上球児』（毎週日曜　後9：00）が、15日にスタートする。物語を彩る主要キャストたちを紹介する。  　本作は、高校野球を通して、現代社会の教育や地域、家族が抱える問題やさまざまな愛を描く、ドリームヒューマンエンターテインメント。物語の核となり作品を盛り上げる球児キャスト12人は、約半年間のオーディションを経て選抜。『石子と羽男―そんなコトで訴えます？―』『最愛』『MIU404』『アンナチュラル』などを手掛けた新井順子プロデューサーと 塚原あゆ子 監督。多くの…,https://www.oricon.co.jp/news/2298332/full/
豪 先住民の声政策に反映の機関創設 国民投票 反対多数で否決 - nhk.or.jp,オーストラリアで、先住民の声を政策に反映しやすくするための機関の創設などを含む憲法改正の是非を問う国民投票が行われました…,https://www3.nhk.or.jp/news/html/20231015/k10014225761000.html
【主張】「留守番禁止」撤回 親締め付けるより支援を - 産経ニュース,埼玉県の９月議会に自民党県議団が提出した虐待禁止条例の改正案が批判を受け、撤回を余儀なくされた。,https://www.sankei.com/article/20231015-IE5XGTF6WJJLNLVX36QQ7WOZE4/
日本発の先端技術に資金の壁…１００億円超集めたスタートアップ「政府の最後の一押し必要」 - 読売新聞オンライン,［世界秩序の行方］第４部　産業政策＜４＞ 　米マサチューセッツ州の古都ボストンから車で１時間、同州北東部デベンズにある施設で、数十人の従業員が、計測器に表示される数値を確認しながら、高性能磁石の製造を流れ作業で進めていた,https://www.yomiuri.co.jp/science/20231015-OYT1T50027/
