Title,Description,URL
同じようで全然違う！「遺伝子」「DNA」「染色体」「ゲノム」のそれぞれの違いとは？【人体の不思議】 - ラブすぽ,遺伝の影響は受けるが、親の特徴をそのまま受け継がない 遺伝にかかわる言葉の中でも混同しやすい、遺伝子とDNA、,https://love-spo.com/sports-lab/zintainohusigi3-027.html
糖尿病の人の足を守るために 気づかず進行する「足の動脈硬化(LEAD)」にご注意 日本初の研究を開始 | ニュース - 糖尿病ネットワーク,"",https://dm-net.co.jp/calendar/2023/037966.php
内臓脂肪を燃焼させる最強の調味料！高野豆腐ふりかけのすごい効果とは？【図解 内臓脂肪がごっそり落ちる食事術】 - ラブすぽ,「内臓脂肪燃焼 万能ふりかけ」をつくる 高野豆腐は圧倒的な量のたんぱく質を含むスーパーフード。内臓脂肪を減らす,https://love-spo.com/sports-lab/syokuzizyutu2-027.html
がん治療薬による乳がん細胞の老化とpH調整の解明—新規細胞老化のメカニズム解明に貢献— - 京都大学,河口浩介 医学研究科助教、Wei Li 同博士課程学生らの研究グループは、乳がん細胞の老化と治療に関連する新たな研究結果を発表しました。 　多くの抗がん薬はがん細胞を老化させる効果がありますが、老化した細胞の細胞内pHの調整機構はまだよくわかっていません。本研究では、乳がんの主要な治療薬である、ドキソルビシンとアベマシクリブという薬剤を使用して乳がん細胞を老化させました。その結果、ATP6AP2というメッセンジャーRNAの減少が、リソソームの機能不全と細胞内の異常なpHレベルを引き起こすことが確認されました。この…,https://www.kyoto-u.ac.jp/ja/research-news/2023-11-27
プレスリリース - 植物種子において特定のタンパク質を大量に蓄積する仕組みの発見 - 基礎生物学研究所,自然科学研究機構 基礎生物学研究所 近年、タンパク質は人間や家畜の栄養源としてだけでなく工業用の酵素やバイオ医薬品として利用が進んでおり、これらの有用タンパク質を大量に合成する方法が模索されています。現在、工業用酵素やバイオ医薬品は微生物や培養細胞を用いて生産されていますが、病原体の混入や生産コ,https://www.nibb.ac.jp/press/2023/11/27.html
喫煙はがんの抑制に関わる遺伝子の変異と関連、オンタリオがん研究所報告｜@DIME アットダイム - @DIME,喫煙はがんの抑制に関わる遺伝子の変異と関連喫煙ががんの主因であることは周知の事実だが、喫煙によりがんが発生する機序の一端を解き明かす研究結果が、カナダの研究グループにより発表された。この研究に...,https://dime.jp/genre/1690883/
【高齢親のかかりつけ病院の探し方】どんな観点で探すべき？経験者が語る「外せないポイント」 | 資産形成から介護まで！ミドルエイジのマネー学＆生活術 - mi-mollet（ミモレ）,ミドルエイジが直面する介護やお金の問題について、介護の専門家でFP資格を持つ渋澤和世が、皆さんのお悩みにお答えします。今回は、以前紹介したかかりつけ医の選び方についての記事が参考になったものの、高齢の親によりマッチした病院を探したいという優子さん。話を聞いてみましょう。,https://mi-mollet.com/articles/-/45643?layout=b
食事からのナトリウム摂取量の削減により血圧が大幅に低下する可能性、ノースウェスタン大学研究報告｜@DIME アットダイム - @DIME,食事からのナトリウム摂取量削減で血圧が大幅に低下毎日、テーブルソルトの使用量をティースプーン1杯分（ナトリウムで2.3g）だけ控えることで、降圧薬を使用した場合と同程度に血圧を下げられることが、米ノー...,https://dime.jp/genre/1692484/
難病PFIC1で起こる肝移植後の脂肪肝炎、体内コリン吸収経路の破綻が原因－東大ほか - QLifePro医療ニュース,東京大学は、進行性家族性肝内胆汁うっ滞症1型（PFIC1）の研究を進める中で、米国において必須栄養素と定められているビタミン様物質「コリン」の吸収経路を明らかにしたと発表した。,https://www.qlifepro.com/news/20231127/intestinal-atp8b1.html
不安定な原子核の内部構造の観測に成功 - 理化学研究所,2023年9月、理研を中心とする研究グループは、仁科加速器科学研究センターのRIビームファクトリー内に完成させた巨大な装置を使い、世界で初めてあらゆる原子核の内部構造を直接観測できることを実証しました。,https://www.riken.jp/pr/closeup/2023/20231127_1/index.html
「4歳のときビール瓶で頭を殴られた」父のアルコール依存症と戦い続けた男性が選んだ道 « 日刊SPA! - 日刊SPA！,昨今、アルコール依存症は社会問題として大きく報道されている。厚生労働省の2016年の発表だと患者数は、外来9万5579人、入院2万5606人、潜在的な依存症者数は約57万人。過剰な飲酒は、肝臓や膵臓…,https://nikkan-spa.jp/1958812
インフルエンザ予防接種の季節 注射後「もんだ方が良く効く」は本当？ 医師「もまない方がいい。むしろ内出血する」 接種後の注意点は｜信濃毎日新聞デジタル 信州・長野県のニュースサイト - 信濃毎日新聞デジタル,インフルエンザのワクチン接種が盛んに行われる時期になった。記者も先日、ワクチンを接種。同じタイミングで接種した人を見ると、少し痛そうな顔をしながらしきりに注射された部分をもんでいた。自分も無意識に腕をもんでいたのだが、接種直後に看護師から「軽く押さえていてください」と言われたことを思い出し、はっと手を止めた。子どもの頃、医師や看護師から「よくもんでください」と言われたことがあり、注射後は腕をもむものだと思っていたが、間違った情報だったのだろうか。「もんだ方が良く薬液が広がる」と言う友人もいる。もむのか、もまないの…,https://www.shinmai.co.jp/news/article/CNTS2023112401045
糖尿病患者の正しい振る舞いは「すべてisCGMが教えてくれる」｜日刊ゲンダイヘルスケア - 日刊ゲンダイヘルスケア,糖尿病治療の基本は血糖値の管理にあります。本来それは実測値...,https://hc.nikkan-gendai.com/articles/279708
女性65歳以上の一人暮らしの割合の推移、11.2%から24.5%へ（1980年〜2040年） | 女性ヘルスケアマーケティングのウーマンズラボ - ウーマンズラボ,"",https://womanslabo.com/marketing-research-231127-3
世界エイズデー県内の状況は？ 初診段階で発症、高い割合＜ニュースはじめの一歩＞ - 琉球新報デジタル,世界エイズデー県内の状況は？　初診段階で発症、高い割合＜ニュースはじめの一歩＞ - 琉球新報デジタル,https://ryukyushimpo.jp/newspaper/entry-2514217.html
高い再発率、後遺症…治療が難しい直腸がんの最新治療 TNT＝術前に持てる武器全てを投入！ - スポニチアネックス Sponichi Annex,"【従来は放射線→手術→抗がん剤】
　大腸がんの中でも肛門近くにできる直腸がんは、治療の難しい病気です。手術後の再発率が他の部位の大腸がんと比べて高く、手術後には人… - スポーツニッポン新聞社の公式サイト（www.sponichi.co.jp）。",https://www.sponichi.co.jp/society/news/2023/11/27/kiji/20231127s00042000107000c.html
際限のない「湿疹のかゆみ」のメカニズムをついに解明！炎症ではなく黄色ブドウ球菌が原因 - ナゾロジー,"赤み、細かいブツブツ、水疱、そして耐え難いかゆみが伴う「湿疹」は、私たちにとって一般的な病気です。
特にアトピー性皮膚炎は、子供や十代の若者によく見られ、成人でも10人に１人が抱えています。
「長年、際限のないかゆみに悩まされてきた」という人も少なくないでしょう。
そしてこれまで、これらの「かゆみ」は、皮膚の炎症によって生じると考えられてきました。
しかし最近、アメリカのハーバード大学（Harvard University）医学部に所属するアイザック・M・チウ氏ら研究チームは、湿疹のかゆみの原因が、身近に存在する…",https://nazology.net/?p=139190
コンゴのエムポックス感染、過去最多に WHO - ライブドアニュース - livedoor,【AFP＝時事】世界保健機関（WHO）は25日、今年に入って12日までのコンゴ民主共和国におけるエムポックス（サル痘）の感染疑い例が1万2569件と、1970年に同国で初感染が確認されて以来、最多となったと発表した。そ,https://news.livedoor.com/article/detail/25420719/
ホルモンが影響している？環境によるもの？？女性が男性より長生きなのはなぜなのか【人体の不思議】 - ラブすぽ,環境要因や体のつくりなどが大きく影響している 日本人の平均寿命は女性が87・32歳、男性が81・25歳と、女性,https://love-spo.com/sports-lab/zintainohusigi3-026.html
北陸の冬 ヒートショック・急増するインフルに注意 湿度の適正管理で暖房費節約も | AERA dot. (アエラドット) - アエラドット 朝日新聞出版,これから先、1年の中で最も気温が冷え込み、身体へのダメージが大きくなる期間に差し掛かります。今冬(12月～翌2月)の北陸地方は、気温が平年値より高い暖冬が予想されていますが、暖冬の年は、寒暖差が大…,https://dot.asahi.com/articles/-/207356
