Category,Title,Description,URL
business,来週のドル・円軟調か、日銀タカ派的なサプライズあれば140円割れも - ブルームバーグ,来週のドル・円は下落傾向が続きそうだ。市場の焦点は、日本銀行の植田和男総裁の講演や12月の金融政策決定会合の主な意見で、タカ派的な内容に対して円高で反応するリスクがある。米国のインフレ鈍化傾向を背景にしたドル安基調も続きそうだ。,https://www.bloomberg.co.jp/news/articles/2023-12-22/S61O84T0G1KW00
technology,OpenAI内紛劇の背後に「21世紀の優生思想」、EAコミュニティとe/accの危険性：朝日新聞GLOBE＋ - GLOBE+,「ChatGPT」の開発元である米国のAI（人工知能）開発組織OpenAIの内紛劇が世界を騒がせた。関連して「EA」「e/acc」という見慣れない用語がネットを飛び交った。内紛劇の背景にある「思想」対立とは,https://globe.asahi.com/article/15087941
science,勉強中に特定の“音”を聞くと集中力が向上する可能性を発見 芝浦工業大学などの研究チーム - ITmedia NEWS,・ｽﾅ浦・ｽH・ｽﾆ托ｿｽw・ｽA・ｽO・ｽH・ｽ・ｽ・ｽM・ｽA・ｽX・ｽg・ｽ[・ｽ・ｽ・ｽA・ｽﾌ鯉ｿｽ・ｽ・ｽ・ｽ`・ｽ[・ｽ・ｽ・ｽﾍ、・ｽw・ｽK・ｽﾌ際に難ｿｽ・ｽ・ｽﾌ会ｿｽ・ｽﾅ抵ｿｽ・ｽo・ｽ・ｽ・ｽh・ｽ・ｽ・ｽ・ｽ・ｽ驍ｱ・ｽﾆで、・ｽW・ｽ・ｽ・ｽﾍゑｿｽ・ｽ・ｽ・ｽ繧ｳ・ｽ・ｽ・ｽ・ｽﾂ能・ｽ・ｽ・ｽｭ鯉ｿｽ・ｽ・ｽ・ｽ・ｽ・ｽB,https://www.itmedia.co.jp/news/articles/2312/22/news114.html
science,商業利用の解禁で普及が加速したインターネット、高速化と低コスト化も進む - ITpro,昨今は「インターネット」と呼ばなくても、単に「ネット」で通じるほどインターネットは普及した。20世紀の科学技術の成果として、間違いなく5本の指に入る。,https://xtech.nikkei.com/atcl/nxt/column/18/02648/111400004/
technology,え？ PHPファイルを登録できるのはまずいでしょ…… Webアプリの「アップロード機能」に潜む“あるある”ワナ - ITmedia NEWS,・ｽl・ｽb・ｽg・ｽ・ｽﾅ擾ｿｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽﾌゑｿｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽO・ｽﾈ趣ｿｽ・ｽ・ｽB・ｽC・ｽ・ｽ・ｽV・ｽf・ｽ・ｽ・ｽg・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ・ｽﾎ趣ｿｽ・ｽ・ｽ・ｽ・ｽ・ｽﾌは計・ｽ・ｽm・ｽ・ｽﾈゑｿｽ・ｽB・ｽ{・ｽA・ｽﾚでは脆弱性・ｽf・ｽf・ｽ・ｽ・ｽK・ｽp・ｽ・ｽWeb・ｽA・ｽv・ｽ・ｽ・ｽuBadTodo・ｽv・ｽ・ｽ・ｽﾞに、・ｽX・ｽg・ｽ[・ｽ・ｽ・ｽ[・ｽ`・ｽ・ｽ・ｽ・ｽWeb・ｽA・ｽv・ｽ・ｽ・ｽ・ｽ・ｽ・ｽﾉ撰ｿｽ・ｽﾞ“・ｽ・ｽ…,https://www.itmedia.co.jp/news/articles/2312/22/news107.html
technology,楽天モバイルが「Galaxy Z Flip4」「AQUOS sense6s」を値下げ キャンペーンでさらに1万2000円相当分還元 - ITmedia Mobile - ITmedia Mobile,・ｽy・ｽV・ｽ・ｽ・ｽo・ｽC・ｽ・ｽ・ｽﾍ、・ｽy・ｽV・ｽ・ｽ・ｽo・ｽC・ｽ・ｽ・ｽ・ｽ・ｽ・ｽ ・ｽy・ｽV・ｽs・ｽ・ｽX・ｽﾅ対象端・ｽ・ｽ・ｽ・ｽl・ｽ・ｽ・ｽ・ｽ・ｽB・ｽuGalaxy Z Flip4・ｽv・ｽ・ｽ13・ｽ・ｽ9800・ｽ~・ｽi・ｽﾅ搾ｿｽ・ｽﾝ、・ｽﾈ会ｿｽ・ｽ・ｽ・ｽj・ｽ・ｽ・ｽ・ｽ9・ｽ・ｽ9000・ｽ~・ｽA・ｽuAQUOS sense6s・ｽv・ｽ・ｽ3・ｽ・ｽ9800・ｽ~・ｽ・ｽ・ｽ・ｽ3・ｽ・ｽ2989・ｽ~・ｽﾆなゑｿｽB,https://www.itmedia.co.jp/mobile/articles/2312/22/news115.html
technology,勉強中に特定の“音”を聞くと集中力が向上する可能性を発見 芝浦工業大学などの研究チーム - ITmedia NEWS,・ｽﾅ浦・ｽH・ｽﾆ托ｿｽw・ｽA・ｽO・ｽH・ｽ・ｽ・ｽM・ｽA・ｽX・ｽg・ｽ[・ｽ・ｽ・ｽA・ｽﾌ鯉ｿｽ・ｽ・ｽ・ｽ`・ｽ[・ｽ・ｽ・ｽﾍ、・ｽw・ｽK・ｽﾌ際に難ｿｽ・ｽ・ｽﾌ会ｿｽ・ｽﾅ抵ｿｽ・ｽo・ｽ・ｽ・ｽh・ｽ・ｽ・ｽ・ｽ・ｽ驍ｱ・ｽﾆで、・ｽW・ｽ・ｽ・ｽﾍゑｿｽ・ｽ・ｽ・ｽ繧ｳ・ｽ・ｽ・ｽ・ｽﾂ能・ｽ・ｽ・ｽｭ鯉ｿｽ・ｽ・ｽ・ｽ・ｽ・ｽB,https://www.itmedia.co.jp/news/articles/2312/22/news114.html
business,話題株ピックアップ【夕刊】（1）：ＱＰＳ研究所、ＡＩメカ、ペプドリ | 注目株 - 株探ニュース,ＱＰＳ研究所＜５５９５＞が大幅続伸。午前１１時ごろ、東京海上日動火災保険（東京都千代田区）と衛星データを活用したサービス開発に向けて協業を開始したと発表しており、好材料視された。今回の協業は、東京海上日動のリスクマネジメント・デジタルプラットフォーム「ＴＭ　Ｓｔａｔｉｏｎ　Ｐｏｒｔａｌ」内のリスク管理情報機能「ＴＭ－ＧＲＳ」におけるサービスを開発するのが狙い・・・。,https://kabutan.jp/news/marketnews/?b=n202312220845
science,商業利用の解禁で普及が加速したインターネット、高速化と低コスト化も進む - ITpro,昨今は「インターネット」と呼ばなくても、単に「ネット」で通じるほどインターネットは普及した。20世紀の科学技術の成果として、間違いなく5本の指に入る。,https://xtech.nikkei.com/atcl/nxt/column/18/02648/111400004/
science,レアアース技術を禁輸 米国に対抗―中国 - 時事通信ニュース,【北京時事】中国商務省と科学技術省は２１日、レアアース（希土類）を加工する技術の輸出を同日から禁じると発表した。米国が中国に依存しないサプライチェーン（供給網）の構築を急ぐ中、対抗措置に踏み切った。,https://www.jiji.com/jc/article?k=2023122200028&g=int
